,Unnamed: 0,anho,ciclo,CodCarSec,Convocatoria,Anho,Semestre,Aprobado,AnhoFirma,PrimerPar,SegundoPar,AOT,Primer.Rec,SegundoRec,NotaFinal,id_anony
135374,857,2017,1,MCT-PLS13,1,2017,1,S,2017,20,27,0,0,0,1F-C-5,es_5532
135375,858,2017,1,ELE-PLS13,1,2017,1,S,2017,15,28,0,0,0,1F-C-4,es_5533
135376,859,2017,1,CIV-PLS13,1,2017,1,N,2017,22,26,0,0,0,,es_5536
135377,860,2017,1,ELE-PLS13,1,2017,1,N,2016,0,0,0,0,0,,es_4900
135378,861,2017,1,CIV-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_4901
135379,862,2017,1,MCT-PLS13,1,2017,1,S,2017,16,22,0,0,0,1F-C-4,es_6322
135380,863,2017,1,IND-PLS13,1,2017,1,S,2017,24,23,0,0,0,1F-C-5,es_6323
135381,864,2017,1,ELE-PLS13,1,2017,1,S,2016,17,24,0,0,0,1F-C-3,es_5538
135382,865,2017,1,IND-PLS13,1,2017,1,S,2016,0,0,0,0,0,1F-2,es_4515
135383,866,2017,1,ELE-PLS13,1,2017,1,S,2017,24,16,0,0,0,1F-C-4,es_5543
135384,867,2017,1,CIV-PLS13,1,2017,1,S,2017,0,15,0,0,0,"2F-C-1,3F-C-2",es_5544
135385,868,2017,1,ELE-PLS13,1,2017,1,S,2016,15,30,0,0,0,1F-C-3,es_5545
135386,869,2017,1,CIV-PLS13,1,2017,1,N,0,8,3,0,0,0,,es_6329
135387,870,2017,1,MCT-PLS13,1,2017,1,N,0,15,8,0,0,0,,es_6330
135388,871,2017,1,CIV-PLS13,1,2017,1,N,2017,10,14,0,0,0,2F-C-1,es_5547
135389,872,2017,1,IND-PLS13,1,2017,1,S,2017,24,23,0,0,0,1F-C-4,es_6331
135390,873,2017,1,MCT-PLS13,1,2017,1,S,2017,23,13,0,0,0,1F-C-4,es_6332
135391,874,2017,1,ECA-PLS13,1,2017,1,S,2017,22,15,0,0,0,1F-C-3,es_6339
135392,875,2017,1,CIV-PLS13,1,2017,1,S,2016,17,21,0,0,0,1F-C-3,es_4908
135393,876,2017,1,CIV-PLS13,1,2017,1,S,2017,23,34,0,0,0,1F-C-5,es_6341
135394,877,2017,1,CIV-PLS13,1,2017,1,N,2017,20,25,0,0,0,,es_6343
135395,878,2017,1,ELE-PLS13,1,2017,1,S,2017,20,23,0,0,0,1F-C-5,es_6344
135396,879,2017,1,CIV-PLS13,1,2017,1,S,2017,21,4,0,0,0,2F-C-3,es_5551
135397,880,2017,1,MCT-PLS13,1,2017,1,S,2017,20,3,0,0,0,3F-C-2,es_5552
